stop_name,lat,lon,time_mins,main_mode
Tribunal de Cuentas,40.42569,-3.70111,14.266666666666667,metro
Plaza de Castilla,40.46682,-3.68918,19.233333333333334,metro
Ascensor,40.46555,-3.68877,17.533333333333335,metro
Ascensor,40.46702,-3.68918,19.533333333333335,metro
Intercambiador Superficie,40.46728,-3.68915,20.633333333333333,metro
Montera - Ascensor,40.41986,-3.70158,21.583333333333332,metro
PLAZA DE CASTILLA,40.4669,-3.68917,19.35,metro
Barceló - Ascensor,40.4263,-3.70067,14.8,metro
Preciados,40.41724,-3.70415,21.6,metro
Gran Vía,40.41992,-3.70183,23.75,metro
Alcalá,40.41707,-3.70296,21.183333333333334,metro
TRIBUNAL,40.42619,-3.7011,14.3,metro
Fuencarral,40.4262,-3.70103,14.383333333333333,metro
GRAN VIA,40.42001,-3.7018,19.35,metro
Paseo Castellana pares,40.46546,-3.68891,17.366666666666667,metro
Intercambiador,40.46621,-3.69028,20.016666666666666,metro
Carretas,40.41665,-3.70353,21.25,metro
ANTON MARTIN,40.41246,-3.69937,23.25,metro
SOL,40.41688,-3.70326,20.2,metro
TIRSO DE MOLINA,40.41235,-3.70466,21.966666666666665,metro
Fuencarral,40.42013,-3.70181,22.9,metro
Carmen,40.41714,-3.70329,21.083333333333332,metro
Alfonso XII,40.40754,-3.68916,27.0,metro
ATOCHA,40.40659,-3.68938,25.833333333333332,metro
Amor de Dios,40.4123,-3.69865,25.616666666666667,metro
Atocha impares,40.41152,-3.69733,34.3,metro
Ministerio,40.40841,-3.69052,31.233333333333334,metro
Atocha pares,40.41142,-3.69742,34.46666666666667,metro
ESTACION DEL ARTE,40.40885,-3.69249,31.1,metro
Paseo Infanta Isabel,40.40701,-3.68818,27.633333333333333,metro
Menéndez Pelayo impares,40.40443,-3.68067,28.3,metro
MENENDEZ PELAYO,40.40445,-3.68098,27.683333333333334,metro
Gutenberg,40.40489,-3.68171,29.05,metro
Menéndez Pelayo pares,40.40452,-3.68091,27.866666666666667,metro
PACIFICO,40.40126,-3.67514,27.033333333333335,metro
Ascensor,40.40157,-3.67428,27.05,metro
Doctor Esquerdo pares,40.40155,-3.67479,25.866666666666667,metro
Doctor Esquerdo impares,40.40147,-3.67438,26.583333333333332,metro
Albufera pares,40.39766,-3.66815,32.61666666666667,metro
Sánchez Barcaíztegui,40.4023,-3.67615,28.133333333333333,metro
PUENTE DE VALLECAS,40.39819,-3.66906,30.95,metro
Albufera impares,40.3978,-3.66808,32.55,metro
VALDEACEDERAS,40.46442,-3.69506,25.25,metro
Peña Prieta,40.39851,-3.66897,31.75,metro
Capitán Blanco Argibay,40.46409,-3.69577,26.033333333333335,metro
Avenida de la Albufera impares (N),40.39626,-3.66517,34.2,metro
Avenida de la Albufera pares (N),40.39615,-3.66527,33.85,metro
NUEVA NUMANCIA,40.39554,-3.66414,32.18333333333333,metro
Avenida de la Albufera impares (S),40.39536,-3.66341,33.43333333333333,metro
Avenida de la Albufera pares (S),40.39523,-3.66352,33.06666666666667,metro
Ascensor 1,40.39297,-3.65884,34.55,metro
PORTAZGO,40.39266,-3.65868,33.7,metro
Ascensor 2,40.3927,-3.65886,33.95,metro
Teniente Muñoz Díaz,40.39224,-3.65785,34.88333333333333,metro
BUENOS AIRES,40.39156,-3.65391,35.166666666666664,metro
Albufera pares,40.3933,-3.65985,35.68333333333333,metro
Pío Felipe,40.39172,-3.65401,35.983333333333334,metro
